variant,bin,bin_lower,bin_upper,count,mean_predicted,observed_fraud_rate,gap
G1-card1,5,0.25,0.30000000000000004,150,0.27169609978196246,0.38666666666666666,-0.1149705668847042
G1-card1,6,0.30000000000000004,0.35000000000000003,116,0.3245627075413959,0.3793103448275862,-0.05474763728619031
G1-card1,7,0.35000000000000003,0.4,99,0.37420600535584037,0.45454545454545453,-0.08033944918961416
G1-card1,8,0.4,0.45,81,0.4250513465457034,0.41975308641975306,0.00529826012595036
G1-card1,9,0.45,0.5,79,0.4771837412568893,0.4050632911392405,0.07212045011764878
G1-card1,10,0.5,0.55,70,0.5219080912518257,0.6142857142857143,-0.09237762303388863
G1-card1,11,0.55,0.6000000000000001,74,0.5746548426436862,0.527027027027027,0.047627815616659186
G1-card1,12,0.6000000000000001,0.65,71,0.62538727244424,0.6197183098591549,0.005668962585085091
G1-card1,13,0.65,0.7000000000000001,59,0.6750085183523167,0.6271186440677966,0.04788987428452007
G1-card1,14,0.7000000000000001,0.75,79,0.7243446752123779,0.6455696202531646,0.07877505495921333
G1-card1,15,0.75,0.8,76,0.7766894417264357,0.6842105263157895,0.09247891541064623
G1-card1,16,0.8,0.8500000000000001,73,0.8266493307851124,0.6438356164383562,0.1828137143467562
G1-card1,17,0.8500000000000001,0.9,91,0.8767510611438173,0.7142857142857143,0.162465346858103
G1-card1,18,0.9,0.9500000000000001,145,0.9294322601879008,0.8551724137931035,0.07425984639479732
G1-card1,19,0.9500000000000001,1.0,880,0.9923153455829973,0.9534090909090909,0.038906254673906404
